hometeam,date,home_FG,home_FGA,home_FGpct,home_3P,home_3PA,home_3Ppct,home_FT,home_FTA,home_FTpct,home_PF,home_PTS
Los Angeles Clippers,2016-02-20,42,94,.447,13,36,.361,15,18,.833,24,112
Miami Heat,2016-02-20,47,96,.490,2,13,.154,18,28,.643,20,114
Minnesota Timberwolves,2016-02-20,36,84,.429,5,12,.417,18,25,.720,11,95
Brooklyn Nets,2016-02-21,35,81,.432,5,22,.227,21,24,.875,15,96
Chicago Bulls,2016-02-21,44,79,.557,13,19,.684,25,26,.962,21,126
Dallas Mavericks,2016-02-21,41,85,.482,13,34,.382,34,36,.944,19,129
Denver Nuggets,2016-02-21,34,73,.466,6,21,.286,27,34,.794,26,101
Detroit Pistons,2016-02-21,37,89,.416,12,33,.364,20,32,.625,25,106
Oklahoma City Thunder,2016-02-21,37,90,.411,5,21,.238,13,19,.684,23,92
Orlando Magic,2016-02-21,38,91,.418,7,25,.280,19,29,.655,23,102
Phoenix Suns,2016-02-21,43,93,.462,9,24,.375,16,22,.727,30,111
Portland Trail Blazers,2016-02-21,39,90,.433,12,32,.375,25,38,.658,21,115
Toronto Raptors,2016-02-21,33,81,.407,7,28,.250,25,31,.806,22,98
Atlanta Hawks,2016-02-22,36,86,.419,10,34,.294,10,16,.625,17,92
Cleveland Cavaliers,2016-02-22,34,79,.430,8,26,.308,12,13,.923,21,88
Los Angeles Clippers,2016-02-22,44,80,.550,13,24,.542,23,35,.657,20,124
Miami Heat,2016-02-22,38,100,.380,2,13,.154,23,34,.676,24,101
Milwaukee Bucks,2016-02-22,44,86,.512,5,16,.313,15,25,.600,27,108
Minnesota Timberwolves,2016-02-22,43,83,.518,8,15,.533,30,40,.750,17,124
New York Knicks,2016-02-22,37,84,.440,6,20,.300,15,23,.652,20,95
Denver Nuggets,2016-02-23,41,100,.410,10,27,.370,18,22,.818,25,110
Philadelphia 76ers,2016-02-23,43,79,.544,10,21,.476,19,26,.731,29,115
Portland Trail Blazers,2016-02-23,40,80,.500,10,23,.435,22,25,.880,18,112
Utah Jazz,2016-02-23,38,74,.514,10,24,.417,31,38,.816,29,117
Washington Wizards,2016-02-23,43,94,.457,12,26,.462,11,17,.647,24,109
Chicago Bulls,2016-02-24,44,88,.500,8,23,.348,13,16,.813,22,109
Cleveland Cavaliers,2016-02-24,45,91,.495,13,32,.406,11,17,.647,20,114
Dallas Mavericks,2016-02-24,35,86,.407,9,28,.321,24,30,.800,21,103
Detroit Pistons,2016-02-24,39,83,.470,11,28,.393,22,34,.647,19,111
Indiana Pacers,2016-02-24,46,91,.505,3,15,.200,13,16,.813,19,108
Los Angeles Clippers,2016-02-24,30,85,.353,13,46,.283,8,14,.571,20,81
Memphis Grizzlies,2016-02-24,48,85,.565,13,27,.481,19,29,.655,20,128
Miami Heat,2016-02-24,40,86,.465,6,14,.429,26,31,.839,23,112
Sacramento Kings,2016-02-24,39,96,.406,6,18,.333,8,15,.533,14,92
Toronto Raptors,2016-02-24,41,85,.482,10,26,.385,22,26,.846,22,114
Boston Celtics,2016-02-25,41,84,.488,5,23,.217,25,33,.758,21,112
New Orleans Pelicans,2016-02-25,47,90,.522,12,20,.600,17,18,.944,25,123
Orlando Magic,2016-02-25,41,90,.456,10,26,.385,22,28,.786,17,114
Phoenix Suns,2016-02-25,42,98,.429,9,27,.333,13,23,.565,29,106
Portland Trail Blazers,2016-02-25,37,80,.463,13,35,.371,18,22,.818,30,105
Utah Jazz,2016-02-25,33,77,.429,3,17,.176,9,12,.750,10,78
Atlanta Hawks,2016-02-26,37,89,.416,7,34,.206,22,24,.917,21,103
Dallas Mavericks,2016-02-26,45,88,.511,11,29,.379,21,27,.778,25,122
Indiana Pacers,2016-02-26,35,85,.412,4,19,.211,21,24,.875,20,95
Los Angeles Lakers,2016-02-26,32,78,.410,5,23,.217,26,39,.667,14,95
New York Knicks,2016-02-26,37,80,.463,4,16,.250,30,36,.833,15,108
Philadelphia 76ers,2016-02-26,35,82,.427,8,25,.320,16,21,.762,19,94
Sacramento Kings,2016-02-26,34,78,.436,12,24,.500,27,37,.730,23,107
Toronto Raptors,2016-02-26,37,73,.507,6,17,.353,19,26,.731,23,99
Boston Celtics,2016-02-27,39,96,.406,5,16,.313,18,22,.818,19,101
Chicago Bulls,2016-02-27,39,94,.415,7,22,.318,10,12,.833,21,95
Houston Rockets,2016-02-27,35,84,.417,8,25,.320,16,22,.727,27,94
Milwaukee Bucks,2016-02-27,38,78,.487,7,12,.583,8,12,.667,23,91
New Orleans Pelicans,2016-02-27,39,84,.464,10,27,.370,22,26,.846,24,110
Oklahoma City Thunder,2016-02-27,46,96,.479,9,26,.346,17,26,.654,21,118
Phoenix Suns,2016-02-27,37,80,.463,12,32,.375,25,35,.714,28,111
Utah Jazz,2016-02-27,37,89,.416,5,20,.250,17,25,.680,19,96
Atlanta Hawks,2016-02-28,38,77,.494,8,17,.471,3,5,.600,19,87
Dallas Mavericks,2016-02-28,47,89,.528,13,36,.361,21,21,1.000,26,128
Detroit Pistons,2016-02-28,41,71,.577,12,23,.522,20,27,.741,20,114
Indiana Pacers,2016-02-28,40,93,.430,3,14,.214,19,25,.760,17,102
New York Knicks,2016-02-28,32,87,.368,6,15,.400,11,12,.917,23,81
Orlando Magic,2016-02-28,49,86,.570,10,16,.625,22,25,.880,27,130
Washington Wizards,2016-02-28,39,79,.494,11,31,.355,24,34,.706,26,113
Boston Celtics,2016-02-29,37,84,.440,6,18,.333,20,29,.690,18,100
Cleveland Cavaliers,2016-02-29,35,83,.422,9,29,.310,21,25,.840,15,100
Denver Nuggets,2016-02-29,40,75,.533,8,25,.320,8,10,.800,26,96
Los Angeles Clippers,2016-02-29,41,83,.494,9,23,.391,14,16,.875,22,105
Milwaukee Bucks,2016-02-29,48,81,.593,8,15,.533,24,33,.727,24,128
Sacramento Kings,2016-02-29,48,107,.449,7,25,.280,13,19,.684,16,116
Washington Wizards,2016-02-29,43,89,.483,6,20,.300,24,31,.774,17,116
Charlotte Hornets,2016-03-01,45,93,.484,13,27,.481,23,27,.852,21,126
Dallas Mavericks,2016-03-01,43,77,.558,9,19,.474,26,31,.839,19,121
Golden State Warriors,2016-03-01,41,103,.398,12,36,.333,15,17,.882,22,109
Los Angeles Lakers,2016-03-01,41,83,.494,11,26,.423,14,21,.667,22,107
Miami Heat,2016-03-01,52,77,.675,6,12,.500,19,25,.760,23,129
New York Knicks,2016-03-01,33,88,.375,6,21,.286,13,18,.722,17,85
Boston Celtics,2016-03-02,43,107,.402,7,26,.269,23,24,.958,16,116
Denver Nuggets,2016-03-02,38,78,.487,12,23,.522,29,38,.763,20,117
Houston Rockets,2016-03-02,36,81,.444,3,35,.086,25,38,.658,14,100
Los Angeles Clippers,2016-03-02,40,98,.408,9,32,.281,14,21,.667,13,103
Memphis Grizzlies,2016-03-02,35,79,.443,5,18,.278,29,33,.879,23,104
Milwaukee Bucks,2016-03-02,34,76,.447,3,14,.214,28,32,.875,21,99
Minnesota Timberwolves,2016-03-02,32,75,.427,5,14,.357,29,34,.853,20,98
Orlando Magic,2016-03-02,39,97,.402,7,21,.333,17,22,.773,14,102
Philadelphia 76ers,2016-03-02,34,85,.400,13,33,.394,18,26,.692,24,99
San Antonio Spurs,2016-03-02,43,84,.512,3,14,.214,8,9,.889,20,97
Toronto Raptors,2016-03-02,40,80,.500,6,22,.273,18,21,.857,18,104
Dallas Mavericks,2016-03-03,45,94,.479,7,29,.241,4,6,.667,25,101
Golden State Warriors,2016-03-03,47,87,.540,11,34,.324,16,21,.762,20,121
Miami Heat,2016-03-03,40,83,.482,9,17,.529,19,25,.760,25,108
New Orleans Pelicans,2016-03-03,35,89,.393,8,24,.333,8,8,1.000,13,86
Boston Celtics,2016-03-04,41,90,.456,4,20,.200,19,25,.760,14,105
Charlotte Hornets,2016-03-04,38,79,.481,13,31,.419,19,23,.826,19,108
Cleveland Cavaliers,2016-03-04,42,90,.467,12,27,.444,12,16,.750,19,108
Denver Nuggets,2016-03-04,46,96,.479,6,26,.231,22,25,.880,20,120
Los Angeles Lakers,2016-03-04,29,85,.341,5,27,.185,14,20,.700,16,77
Memphis Grizzlies,2016-03-04,37,81,.457,4,18,.222,16,19,.842,22,94
Milwaukee Bucks,2016-03-04,43,83,.518,14,24,.583,16,20,.800,19,116
Orlando Magic,2016-03-04,35,101,.347,7,27,.259,7,14,.500,31,84
Philadelphia 76ers,2016-03-04,36,95,.379,9,31,.290,21,27,.778,27,102
Toronto Raptors,2016-03-04,34,67,.507,6,12,.500,43,54,.796,30,117
Chicago Bulls,2016-03-05,36,79,.456,9,21,.429,27,34,.794,21,108
Cleveland Cavaliers,2016-03-05,42,82,.512,10,30,.333,26,34,.765,21,120
Los Angeles Clippers,2016-03-05,34,79,.430,12,32,.375,17,28,.607,20,97
Minnesota Timberwolves,2016-03-05,52,76,.684,10,18,.556,18,22,.818,26,132
New Orleans Pelicans,2016-03-05,38,92,.413,9,19,.474,9,11,.818,27,94
New York Knicks,2016-03-05,42,79,.532,4,16,.250,14,18,.778,14,102
San Antonio Spurs,2016-03-05,40,81,.494,8,23,.348,16,19,.842,21,104
Washington Wizards,2016-03-05,39,89,.438,6,15,.400,15,24,.625,21,99
Denver Nuggets,2016-03-06,44,107,.411,9,26,.346,19,25,.760,25,116
Detroit Pistons,2016-03-06,44,84,.524,12,22,.545,23,28,.821,23,123
Los Angeles Lakers,2016-03-06,41,87,.471,9,25,.360,21,22,.955,24,112
Memphis Grizzlies,2016-03-06,32,80,.400,10,22,.455,26,33,.788,27,100
Miami Heat,2016-03-06,36,81,.444,8,14,.571,23,30,.767,18,103
Milwaukee Bucks,2016-03-06,34,90,.378,3,19,.158,25,30,.833,24,96
Toronto Raptors,2016-03-06,37,77,.481,12,33,.364,21,27,.778,24,107
Chicago Bulls,2016-03-07,39,78,.500,10,25,.400,12,15,.800,18,100
Charlotte Hornets,2016-03-07,41,90,.456,12,30,.400,14,17,.824,17,108
Cleveland Cavaliers,2016-03-07,36,80,.450,7,29,.241,24,29,.828,22,103
Dallas Mavericks,2016-03-07,30,81,.370,4,25,.160,26,32,.813,19,90
Golden State Warriors,2016-03-07,42,84,.500,16,35,.457,19,27,.704,26,119
Indiana Pacers,2016-03-07,32,78,.410,7,16,.438,28,30,.933,18,99
New Orleans Pelicans,2016-03-07,45,94,.479,7,25,.280,18,26,.692,21,115
Denver Nuggets,2016-03-08,45,99,.455,6,21,.286,14,19,.737,22,110
Los Angeles Lakers,2016-03-08,40,81,.494,9,27,.333,18,23,.783,22,107
Minnesota Timberwolves,2016-03-08,36,79,.456,4,15,.267,15,19,.789,17,91
Portland Trail Blazers,2016-03-08,41,89,.461,10,24,.417,24,31,.774,27,116
Toronto Raptors,2016-03-08,37,78,.474,10,23,.435,20,25,.800,15,104
Utah Jazz,2016-03-08,30,86,.349,7,26,.269,17,23,.739,14,84
Boston Celtics,2016-03-09,41,87,.471,15,32,.469,19,24,.792,27,116
Charlotte Hornets,2016-03-09,38,82,.463,15,35,.429,31,38,.816,18,122
Dallas Mavericks,2016-03-09,39,86,.453,9,30,.300,9,11,.818,19,96
Golden State Warriors,2016-03-09,48,84,.571,13,30,.433,6,10,.600,23,115
Milwaukee Bucks,2016-03-09,42,80,.525,4,8,.500,26,37,.703,19,114
Oklahoma City Thunder,2016-03-09,48,91,.527,9,24,.375,15,18,.833,20,120
Philadelphia 76ers,2016-03-09,35,86,.407,12,33,.364,22,32,.688,28,104
Phoenix Suns,2016-03-09,39,89,.438,9,29,.310,10,15,.667,21,97
Sacramento Kings,2016-03-09,40,84,.476,8,22,.364,23,32,.719,27,111
Denver Nuggets,2016-03-10,44,91,.484,13,28,.464,15,19,.789,30,116
Los Angeles Lakers,2016-03-10,42,80,.525,7,22,.318,17,21,.810,22,108
San Antonio Spurs,2016-03-10,44,93,.473,6,17,.353,15,19,.789,12,109
Toronto Raptors,2016-03-10,38,82,.463,7,24,.292,21,29,.724,24,104
Boston Celtics,2016-03-11,34,91,.374,8,31,.258,22,28,.786,17,98
Chicago Bulls,2016-03-11,38,81,.469,8,21,.381,12,15,.800,14,96
Charlotte Hornets,2016-03-11,42,83,.506,10,25,.400,24,29,.828,19,118
Golden State Warriors,2016-03-11,40,89,.449,18,40,.450,30,39,.769,20,128
Los Angeles Clippers,2016-03-11,38,85,.447,13,29,.448,12,16,.750,22,101
Memphis Grizzlies,2016-03-11,47,96,.490,6,14,.429,21,32,.656,26,121
Oklahoma City Thunder,2016-03-11,36,84,.429,6,27,.222,18,25,.720,24,96
Philadelphia 76ers,2016-03-11,38,84,.452,9,28,.321,10,15,.667,20,95
Sacramento Kings,2016-03-11,35,88,.398,8,25,.320,22,25,.880,22,100
Utah Jazz,2016-03-11,38,67,.567,9,16,.563,29,38,.763,19,114
Atlanta Hawks,2016-03-12,36,84,.429,11,34,.324,12,17,.706,14,95
Charlotte Hornets,2016-03-12,48,88,.545,15,31,.484,14,16,.875,25,125
Dallas Mavericks,2016-03-12,41,85,.482,8,22,.364,15,18,.833,21,105
Denver Nuggets,2016-03-12,42,80,.525,8,24,.333,24,29,.828,27,116
Golden State Warriors,2016-03-12,42,84,.500,11,33,.333,28,33,.848,25,123
Milwaukee Bucks,2016-03-12,40,81,.494,4,13,.308,19,24,.792,16,103
Philadelphia 76ers,2016-03-12,39,84,.464,10,25,.400,23,27,.852,16,111
Portland Trail Blazers,2016-03-12,47,84,.560,17,35,.486,10,11,.909,20,121
San Antonio Spurs,2016-03-12,34,85,.400,4,24,.167,21,25,.840,17,93
Toronto Raptors,2016-03-12,37,84,.440,6,18,.333,32,38,.842,23,112
Atlanta Hawks,2016-03-13,40,85,.471,15,30,.500,9,10,.900,13,104
Brooklyn Nets,2016-03-13,39,70,.557,12,27,.444,10,13,.769,18,100
Los Angeles Clippers,2016-03-13,32,79,.405,10,32,.313,16,19,.842,23,90
Los Angeles Lakers,2016-03-13,34,85,.400,3,16,.188,16,21,.762,20,87
Sacramento Kings,2016-03-13,38,81,.469,9,21,.429,14,21,.667,20,99
Charlotte Hornets,2016-03-14,32,76,.421,10,30,.333,22,34,.647,16,96
Golden State Warriors,2016-03-14,47,81,.580,12,25,.480,19,23,.826,22,125
Houston Rockets,2016-03-14,46,85,.541,16,33,.485,22,34,.647,22,130
Miami Heat,2016-03-14,47,79,.595,8,17,.471,22,28,.786,20,124
Oklahoma City Thunder,2016-03-14,49,83,.590,9,17,.529,21,26,.808,20,128
Phoenix Suns,2016-03-14,40,95,.421,11,35,.314,16,20,.800,26,107
Toronto Raptors,2016-03-14,37,83,.446,6,20,.300,27,31,.871,18,107
Utah Jazz,2016-03-14,35,71,.493,12,27,.444,12,14,.857,15,94
Washington Wizards,2016-03-14,51,90,.567,8,18,.444,14,18,.778,22,124
Brooklyn Nets,2016-03-15,47,90,.522,10,24,.417,27,31,.871,20,131
Indiana Pacers,2016-03-15,39,84,.464,5,12,.417,20,28,.714,18,103
Los Angeles Lakers,2016-03-15,37,84,.440,5,26,.192,19,26,.731,23,98
Milwaukee Bucks,2016-03-15,34,77,.442,2,13,.154,19,26,.731,16,89
Orlando Magic,2016-03-15,44,81,.543,8,25,.320,20,25,.800,20,116
San Antonio Spurs,2016-03-15,44,82,.537,8,20,.400,12,16,.750,21,108
Boston Celtics,2016-03-16,40,93,.430,5,19,.263,24,27,.889,22,109
Charlotte Hornets,2016-03-16,40,100,.400,11,37,.297,16,21,.762,12,107
Cleveland Cavaliers,2016-03-16,39,88,.443,10,37,.270,11,13,.846,19,99
Detroit Pistons,2016-03-16,39,84,.464,8,25,.320,28,39,.718,25,114
Golden State Warriors,2016-03-16,46,91,.505,18,37,.486,11,12,.917,13,121
Houston Rockets,2016-03-16,40,82,.488,9,25,.360,17,24,.708,25,106
Memphis Grizzlies,2016-03-16,44,100,.440,4,20,.200,16,21,.762,21,108
Sacramento Kings,2016-03-16,42,90,.467,9,18,.500,15,17,.882,18,108
Washington Wizards,2016-03-16,43,88,.489,13,21,.619,18,24,.750,19,117
Atlanta Hawks,2016-03-17,40,80,.500,12,26,.462,24,28,.857,16,116
Chicago Bulls,2016-03-17,46,94,.489,11,24,.458,15,15,1.000,16,118
Indiana Pacers,2016-03-17,35,91,.385,8,28,.286,16,23,.696,32,94
Miami Heat,2016-03-17,40,75,.533,7,17,.412,19,24,.792,17,106
Milwaukee Bucks,2016-03-17,37,75,.493,5,19,.263,17,25,.680,15,96
Philadelphia 76ers,2016-03-17,35,91,.385,6,33,.182,18,26,.692,20,94
San Antonio Spurs,2016-03-17,45,86,.523,8,16,.500,20,22,.909,24,118
Utah Jazz,2016-03-17,43,88,.489,11,25,.440,6,9,.667,18,103
Dallas Mavericks,2016-03-18,41,93,.441,9,29,.310,21,22,.955,15,112
Detroit Pistons,2016-03-18,44,92,.478,12,26,.462,15,18,.833,22,115
Houston Rockets,2016-03-18,48,85,.565,11,29,.379,9,14,.643,19,116
Los Angeles Lakers,2016-03-18,31,86,.360,6,23,.261,22,26,.846,21,90
New Orleans Pelicans,2016-03-18,40,83,.482,10,21,.476,22,28,.786,26,112
Orlando Magic,2016-03-18,37,82,.451,11,22,.500,18,22,.818,24,103
Philadelphia 76ers,2016-03-18,35,89,.393,10,29,.345,17,27,.630,17,97
Toronto Raptors,2016-03-18,37,77,.481,13,28,.464,18,25,.720,19,105
Atlanta Hawks,2016-03-19,44,88,.500,14,38,.368,7,12,.583,20,109
Chicago Bulls,2016-03-19,39,80,.488,6,19,.316,8,11,.727,12,92
Charlotte Hornets,2016-03-19,35,83,.422,9,32,.281,14,20,.700,18,93
Detroit Pistons,2016-03-19,46,94,.489,10,24,.417,13,21,.619,17,115
Indiana Pacers,2016-03-19,40,83,.482,9,22,.409,22,30,.733,18,111
Memphis Grizzlies,2016-03-19,40,82,.488,4,15,.267,29,36,.806,28,113
Miami Heat,2016-03-19,46,84,.548,11,19,.579,19,23,.826,14,122
San Antonio Spurs,2016-03-19,32,78,.410,8,21,.381,15,18,.833,19,87
Washington Wizards,2016-03-19,39,87,.448,8,29,.276,13,17,.765,16,99
Dallas Mavericks,2016-03-20,49,89,.551,15,25,.600,19,23,.826,21,132
Milwaukee Bucks,2016-03-20,34,65,.523,3,8,.375,14,17,.824,11,85
New Orleans Pelicans,2016-03-20,35,71,.493,7,21,.333,32,40,.800,34,109
New York Knicks,2016-03-20,32,91,.352,4,19,.211,12,15,.800,16,80
Philadelphia 76ers,2016-03-20,39,92,.424,8,21,.381,19,27,.704,19,105
Toronto Raptors,2016-03-20,35,81,.432,6,20,.300,29,45,.644,18,105
Atlanta Hawks,2016-03-21,38,78,.487,13,33,.394,13,17,.765,15,102
Boston Celtics,2016-03-21,40,85,.471,7,22,.318,20,24,.833,16,107
Chicago Bulls,2016-03-21,41,91,.451,12,24,.500,15,23,.652,16,109
Charlotte Hornets,2016-03-21,35,87,.402,8,19,.421,13,19,.684,12,91
Cleveland Cavaliers,2016-03-21,48,86,.558,15,31,.484,13,17,.765,19,124
Detroit Pistons,2016-03-21,35,85,.412,9,33,.273,13,17,.765,14,92
Indiana Pacers,2016-03-21,35,81,.432,10,26,.385,11,13,.846,20,91
Minnesota Timberwolves,2016-03-21,36,82,.439,7,19,.368,25,30,.833,20,104
Phoenix Suns,2016-03-21,30,76,.395,11,28,.393,26,34,.765,18,97
Brooklyn Nets,2016-03-22,34,74,.459,8,18,.444,24,27,.889,24,100
Los Angeles Lakers,2016-03-22,39,77,.506,6,19,.316,23,24,.958,23,107
New Orleans Pelicans,2016-03-22,34,87,.391,7,16,.438,24,30,.800,25,99
Oklahoma City Thunder,2016-03-22,41,91,.451,8,35,.229,21,29,.724,17,111
Boston Celtics,2016-03-23,35,80,.438,8,20,.400,13,21,.619,18,91
Chicago Bulls,2016-03-23,38,82,.463,15,32,.469,16,21,.762,12,107
Cleveland Cavaliers,2016-03-23,40,83,.482,10,34,.294,23,27,.852,17,113
Denver Nuggets,2016-03-23,33,76,.434,6,17,.353,32,40,.800,19,104
Detroit Pistons,2016-03-23,43,80,.538,11,24,.458,21,25,.840,15,118
Golden State Warriors,2016-03-23,39,87,.448,15,34,.441,21,28,.750,20,114
Houston Rockets,2016-03-23,33,74,.446,9,23,.391,12,22,.545,21,87
Minnesota Timberwolves,2016-03-23,45,80,.563,5,13,.385,18,32,.563,18,113
Phoenix Suns,2016-03-23,47,93,.505,13,28,.464,12,20,.600,21,119
Portland Trail Blazers,2016-03-23,40,89,.449,7,27,.259,22,25,.880,12,109
San Antonio Spurs,2016-03-23,42,81,.519,8,14,.571,20,24,.833,12,112
Washington Wizards,2016-03-23,39,92,.424,12,30,.400,11,12,.917,22,101
Brooklyn Nets,2016-03-24,41,89,.461,8,22,.364,14,19,.737,16,104
Indiana Pacers,2016-03-24,36,79,.456,7,20,.350,13,15,.867,12,92
Los Angeles Clippers,2016-03-24,37,82,.451,4,19,.211,18,28,.643,29,96
New York Knicks,2016-03-24,39,76,.513,13,30,.433,15,16,.938,12,106
Oklahoma City Thunder,2016-03-24,45,83,.542,9,22,.409,14,22,.636,16,113
Atlanta Hawks,2016-03-25,41,97,.423,5,32,.156,14,17,.824,21,101
Detroit Pistons,2016-03-25,42,91,.462,8,30,.267,20,26,.769,22,112
Golden State Warriors,2016-03-25,43,88,.489,21,45,.467,21,23,.913,16,128
Houston Rockets,2016-03-25,42,81,.519,12,22,.545,16,35,.457,23,112
Los Angeles Lakers,2016-03-25,37,85,.435,10,23,.435,21,26,.808,19,105
Miami Heat,2016-03-25,40,80,.500,5,15,.333,23,33,.697,20,108
Sacramento Kings,2016-03-25,40,90,.444,7,22,.318,29,39,.744,22,116
San Antonio Spurs,2016-03-25,44,77,.571,7,18,.389,15,18,.833,12,110
Washington Wizards,2016-03-25,50,100,.500,13,29,.448,16,23,.696,22,129
Brooklyn Nets,2016-03-26,42,77,.545,5,11,.455,31,36,.861,23,120
Detroit Pistons,2016-03-26,34,88,.386,7,29,.241,20,28,.714,14,95
Milwaukee Bucks,2016-03-26,37,84,.440,4,15,.267,13,15,.867,16,91
Minnesota Timberwolves,2016-03-26,32,84,.381,4,11,.364,16,19,.842,13,84
New Orleans Pelicans,2016-03-26,37,85,.435,4,15,.267,13,20,.650,18,91
New York Knicks,2016-03-26,33,79,.418,8,23,.348,19,28,.679,23,93
Oklahoma City Thunder,2016-03-26,44,85,.518,7,20,.350,16,18,.889,18,111
Orlando Magic,2016-03-26,48,89,.539,7,19,.368,8,12,.667,21,111
Phoenix Suns,2016-03-26,37,85,.435,7,31,.226,18,21,.857,24,99
Portland Trail Blazers,2016-03-26,38,91,.418,8,25,.320,24,30,.800,21,108
Golden State Warriors,2016-03-27,44,83,.530,14,33,.424,15,20,.750,15,117
Indiana Pacers,2016-03-27,41,87,.471,9,26,.346,13,20,.650,23,104
Los Angeles Clippers,2016-03-27,38,80,.475,10,28,.357,19,26,.731,19,105
Los Angeles Lakers,2016-03-27,33,87,.379,7,28,.250,15,17,.882,26,88
Sacramento Kings,2016-03-27,51,82,.622,9,20,.450,22,30,.733,18,133
Chicago Bulls,2016-03-28,40,106,.377,9,22,.409,11,15,.733,17,100
Denver Nuggets,2016-03-28,31,70,.443,9,24,.375,17,19,.895,20,88
Los Angeles Clippers,2016-03-28,44,84,.524,11,25,.440,15,18,.833,23,114
Memphis Grizzlies,2016-03-28,33,83,.398,6,19,.316,15,24,.625,22,87
Miami Heat,2016-03-28,48,84,.571,5,16,.313,9,12,.750,14,110
Minnesota Timberwolves,2016-03-28,41,81,.506,7,26,.269,32,40,.800,18,121
New Orleans Pelicans,2016-03-28,32,75,.427,8,19,.421,27,37,.730,16,99
Portland Trail Blazers,2016-03-28,38,80,.475,14,29,.483,15,18,.833,23,105
Toronto Raptors,2016-03-28,38,93,.409,8,24,.333,16,23,.696,21,100
Utah Jazz,2016-03-28,46,89,.517,17,32,.531,14,19,.737,18,123
Cleveland Cavaliers,2016-03-29,31,86,.360,14,40,.350,24,28,.857,31,100
Detroit Pistons,2016-03-29,33,87,.379,4,19,.211,18,20,.900,18,88
Golden State Warriors,2016-03-29,38,87,.437,11,25,.440,15,23,.652,23,102
Indiana Pacers,2016-03-29,39,90,.433,3,19,.158,15,17,.882,16,96
Orlando Magic,2016-03-29,56,91,.615,14,27,.519,13,19,.684,29,139
Philadelphia 76ers,2016-03-29,30,96,.313,16,44,.364,9,10,.900,18,85
Dallas Mavericks,2016-03-30,35,85,.412,8,25,.320,13,17,.765,15,91
Los Angeles Lakers,2016-03-30,37,102,.363,6,20,.300,22,29,.759,21,102
Memphis Grizzlies,2016-03-30,41,95,.432,6,19,.316,17,27,.630,19,105
Milwaukee Bucks,2016-03-30,37,77,.481,6,15,.400,25,34,.735,23,105
Minnesota Timberwolves,2016-03-30,30,87,.345,8,23,.348,11,17,.647,15,79
Sacramento Kings,2016-03-30,47,84,.560,8,18,.444,18,25,.720,15,120
San Antonio Spurs,2016-03-30,36,75,.480,12,24,.500,16,22,.727,18,100
Toronto Raptors,2016-03-30,36,80,.450,11,23,.478,22,28,.786,19,105
Utah Jazz,2016-03-30,37,92,.402,9,32,.281,13,29,.448,23,96
Cleveland Cavaliers,2016-03-31,38,87,.437,12,38,.316,19,24,.792,17,107
Houston Rockets,2016-03-31,36,90,.400,9,25,.360,19,22,.864,19,100
Indiana Pacers,2016-03-31,36,86,.419,7,19,.368,15,21,.714,18,94
New Orleans Pelicans,2016-03-31,40,90,.444,13,29,.448,8,9,.889,16,101
Oklahoma City Thunder,2016-03-31,45,87,.517,10,32,.313,19,24,.792,13,119
Portland Trail Blazers,2016-03-31,41,90,.456,14,34,.412,20,27,.741,20,116
Atlanta Hawks,2016-04-01,38,95,.400,9,30,.300,23,26,.885,27,108
Charlotte Hornets,2016-04-01,36,84,.429,7,27,.259,21,27,.778,14,100
Detroit Pistons,2016-04-01,31,81,.383,13,33,.394,14,24,.583,17,89
Golden State Warriors,2016-04-01,38,83,.458,20,43,.465,10,13,.769,24,106
Memphis Grizzlies,2016-04-01,37,91,.407,7,19,.368,14,17,.824,25,95
Milwaukee Bucks,2016-04-01,47,86,.547,4,17,.235,15,25,.600,15,113
New York Knicks,2016-04-01,42,84,.500,14,23,.609,7,7,1.000,12,105
Phoenix Suns,2016-04-01,36,93,.387,7,23,.304,20,26,.769,22,99
Sacramento Kings,2016-04-01,38,87,.437,7,21,.333,23,29,.793,16,106
Utah Jazz,2016-04-01,38,72,.528,8,22,.364,14,23,.609,11,98
Chicago Bulls,2016-04-02,34,88,.386,9,25,.360,13,15,.867,25,90
Denver Nuggets,2016-04-02,40,92,.435,9,29,.310,17,24,.708,22,106
Philadelphia 76ers,2016-04-02,34,83,.410,16,37,.432,18,26,.692,22,102
Portland Trail Blazers,2016-04-02,41,79,.519,10,15,.667,18,23,.783,19,110
San Antonio Spurs,2016-04-02,35,77,.455,5,20,.250,27,30,.900,14,102
Brooklyn Nets,2016-04-03,33,85,.388,8,23,.348,13,21,.619,23,87
Cleveland Cavaliers,2016-04-03,45,83,.542,16,29,.552,6,13,.462,19,112
Golden State Warriors,2016-04-03,50,88,.568,18,30,.600,18,22,.818,23,136
Houston Rockets,2016-04-03,41,102,.402,13,42,.310,23,26,.885,24,118
Los Angeles Clippers,2016-04-03,43,85,.506,8,19,.421,20,33,.606,17,114
Los Angeles Lakers,2016-04-03,37,90,.411,6,21,.286,20,29,.690,17,100
Milwaukee Bucks,2016-04-03,40,85,.471,2,7,.286,16,20,.800,17,98
Minnesota Timberwolves,2016-04-03,29,71,.408,4,21,.190,16,18,.889,18,78
New York Knicks,2016-04-03,33,96,.344,7,25,.280,14,20,.700,18,87
Orlando Magic,2016-04-03,43,90,.478,10,26,.385,23,29,.793,21,119
Phoenix Suns,2016-04-03,33,78,.423,8,27,.296,12,19,.632,19,86
